gender,age,stress_experience,heartbeat_palpitations,anxiety_tension,sleep_problems,restlessness,headaches,irritability,concentration_problems,sadness_low_mood,health_issues,loneliness_isolation,academic_overload,peer_competition,relationship_stress,work_environment,lack_relaxation_time,home_environment,low_academic_confidence,subject_confidence,academic_conflicts,class_attendance,weight_changes,Exam_Stress_Level,Attendance_Percentage,Academic_Workload,Academic_Confidence_Level,Subject_Wise_Confidence,Study_Effectiveness,Study_Fatigue_Index,Learning_Disruption_Score,Motivation_Level,Exam_Anxiety_Level
1,20,1,2,2,4,3,1,4,5,5,5,5,5,4,4,3,1,1,4,1,1,3,2,1,60,5,2,1,3.5,2.5,3.5,1,1.5
0,19,4,5,5,4,4,5,4,5,2,2,2,1,2,2,4,4,5,5,5,5,3,5,0,60,1,1,5,5,4,4,4,4.5
0,21,4,2,3,3,4,4,1,3,3,2,1,2,3,3,3,3,3,3,3,4,4,2,1,80,2,3,3,3,3,2.5,4,3.5
0,20,1,3,2,1,3,1,5,5,1,2,1,4,3,3,3,3,1,3,5,4,2,3,1,40,4,3,5,3.5,2,4,5,1.5
0,19,4,3,3,2,3,4,2,3,2,4,1,2,4,2,2,4,2,2,2,3,4,4,1,80,2,4,2,3,3,2.5,4.5,3.5
0,19,2,3,2,3,4,1,1,1,1,2,3,1,4,2,3,5,4,4,1,5,3,1,1,60,1,2,1,1.5,4,2.5,4,2
0,18,1,1,1,4,3,3,1,3,3,2,4,4,4,2,3,4,2,1,1,1,1,1,1,20,4,5,1,2,4,2,2.5,1
0,19,1,1,4,1,2,3,2,3,4,3,2,3,2,3,2,1,1,1,1,1,1,1,1,20,3,5,1,3.5,1,2,3,2.5
0,21,3,3,4,3,2,2,3,5,3,2,3,1,3,2,1,3,3,4,3,4,5,3,1,100,1,2,3,4.5,3,2.5,3,3.5
0,19,3,2,3,2,3,3,4,5,3,2,3,1,2,1,5,5,4,5,5,4,4,1,1,80,1,1,5,4,3.5,3.5,3,3
